weighted_rank,station_complex_id,station,passenger_weighted_average_stops,passenger_weighted_closeness
301,B026,Neck Rd (Q),12.771801017429585,0.0782974929405263
302,D009,20 Av (N),12.927503517777128,0.0773544558409796
303,R286,176 St (4),12.928553609389938,0.0773481729057228
304,E011,79 St (D),12.943314738298495,0.0772599616264494
305,N213,"Tremont Av (B,D)",12.965351570562463,0.0771286451090518
306,R643,"Newkirk Av (2,5)",12.99916208862134,0.0769280352981626
307,R632,Pennsylvania Av (3),13.033956523311284,0.0767226742095921
308,N548,Ditmas Av (F),13.045313152065368,0.0766558831009493
309,R410,Longwood Av (6),13.0761065348803,0.0764753634679035
310,N339A,Parsons Blvd (F),13.131786315692322,0.0761511020633203
311,N131,80 St (A),13.194457687774907,0.0757893976140097
312,J037,"121 St (J,Z)",13.222393088455688,0.0756292747697153
313,H038,Livonia Av (L),13.23591745529336,0.0755519973116843
314,R532,Mets-Willets Point (7),13.34146237514694,0.0749543020008693
315,R190,215 St (1),13.406582564940605,0.0745902242540979
316,J028,"75 St-Elderts Ln (J,Z)",13.43135276638768,0.0744526644034342
317,N002A,Inwood-207 St (A),13.447808599570957,0.0743615580632151
318,R318,"Simpson St (2,5)",13.4992333611275,0.0740782808362738
319,J034,"104 St (J,Z)",13.584333029925135,0.073614214094802
320,J025,Cypress Hills (J),13.592899040456857,0.0735678236867409
321,K024,Forest Av (M),13.645005265177272,0.0732868900059752
322,B032,Ocean Pkwy (Q),13.67219544724312,0.0731411428295256
323,N606,"Jamaica Center-Parsons-Archer (E,J,Z)",13.70253903102289,0.0729791754459502
324,J031,"Woodhaven Blvd (J,Z)",13.747418807534087,0.0727409278789094
325,D010,Bay Pkwy (N),13.865911226840106,0.0721193135914724
326,E012,18 Av (D),13.885937121061511,0.0720153052171933
327,R287,Burnside Av (4),13.907863005685392,0.0719017723708674
328,J035,111 St (J),13.910620947320394,0.0718875170121453
329,N215,"182-183 Sts (B,D)",13.95352260795966,0.071666490827883
330,R645,"Flatbush Av-Brooklyn College (2,5)",13.992543167317937,0.0714666367680521
331,N549,18 Av (F),14.00111622492398,0.0714228768574792
332,R633,Van Siclen Av (3),14.031106069309216,0.0712702188309543
333,R412,Hunts Point Av (6),14.050731899116988,0.0711706697686577
334,N340A,169 St (F),14.121612573703958,0.0708134425003355
335,N133,88 St (A),14.17965188062614,0.0705235931332217
336,H039,New Lots Av (L),14.23210335713084,0.0702636830907331
337,J030,85 St-Forest Pkwy (J),14.25324745747466,0.0701594498365059
338,R533,Flushing-Main St (7),14.317790157461856,0.0698431803373539
339,R192,Marble Hill-225 St (1),14.396899299325014,0.0694594008896682
340,R320,"Freeman St (2,5)",14.46973287539419,0.069109776152157
341,G011,"West 8 St-New York Aquarium (F,Q)",14.61181828818412,0.0684377522548752
342,K025,Fresh Pond Rd (M),14.64134339964436,0.0682997435893956
343,D012,Kings Hwy (N),14.794726651920303,0.0675916509664072
344,E013,20 Av (D),14.820409947428995,0.0674745168013032
345,R288,183 St (4),14.89058129442484,0.0671565454851926
346,N551,Avenue I (F),14.940590924336297,0.0669317569207472
347,N217,"Fordham Rd (B,D)",14.943227710095483,0.0669199465738189
348,R634,New Lots Av (3),15.029152589713728,0.0665373509271854
349,R413,Whitlock Av (6),15.02917005337665,0.0665372736118137
350,N343,Jamaica-179 St (F),15.114350125810954,0.0661622889291341
351,N134,Rockaway Blvd (A),15.165876129983596,0.0659375028141603
352,H040,East 105 St (L),15.229614717647616,0.0656615428912479
353,R194,231 St (1),15.389147124074622,0.0649808590390048
354,R322,"174 St (2,5)",15.44174886941719,0.0647595041504999
355,G009,"Coney Island-Stillwell Av (D,F,N,Q)",15.545900681315365,0.0643256393115839
356,N562,Neptune Av (F),15.594088151962405,0.0641268659157962
357,K026,Middle Village-Metropolitan Av (M),15.639879558790357,0.0639391113109916
358,D015,Avenue U (N),15.714514324330564,0.0636354378736168
359,E014,Bay Pkwy (D),15.743681668592416,0.0635175444378383
360,N553,Bay Pkwy (F),15.868050272887192,0.0630197146342951
361,R289,Fordham Rd (4),15.875491798226683,0.0629901745854387
362,N221,"Kingsbridge Rd (B,D)",15.936384008220246,0.0627494919477457
363,R414,Elder Av (6),16.00831767711838,0.0624675259555448
364,N181A,Aqueduct Racetrack (A),16.158800296636255,0.0618857824617195
365,N137,104 St (A),16.16196957272905,0.0618736469896189
366,H041,Canarsie-Rockaway Pkwy (L),16.22818534310576,0.0616211843072664
367,R196,238 St (1),16.38482619041036,0.0610320786060749
368,R323,"West Farms Sq-East Tremont Av (2,5)",16.415857405653938,0.0609167084782047
369,D016,86 St (N),16.485431506771334,0.0606596193487112
370,E016,Bay 50 St (D),16.50727695505506,0.0605793434448779
371,N561,Avenue X (F),16.572273343682657,0.0603417515063616
372,E015,25 Av (D),16.596743081828063,0.0602527854452907
373,N555,Avenue N (F),16.78414394225727,0.0595800419396017
374,R290,Kingsbridge Rd (4),16.864416662640973,0.0592964476628034
375,N222,"Bedford Park Blvd (B,D)",16.931694797405815,0.0590608330687141
376,R415,Morrison Av-Soundview (6),16.98976394573388,0.0588589696239481
377,N181,Aqueduct-North Conduit Av (A),17.152108798906948,0.0583018689843972
378,N139,111 St (A),17.15864490970242,0.0582796605013107
379,R197,Van Cortlandt Park-242 St (1),17.382213430638323,0.0575300725647157
380,R325,"East 180 St (2,5)",17.39193349137094,0.0574979199694015
381,N559,Avenue U (F),17.537936136467074,0.0570192519928656
382,N556,Avenue P (F),17.69237544557765,0.0565215226794182
383,R291,Bedford Park Blvd-Lehman College (4),17.856819308870552,0.0560010146657663
384,N224,Norwood-205 St (D),17.929248769513308,0.0557747852604058
385,R416,St Lawrence Av (6),17.973470134072826,0.0556375587207431
386,N182,Howard Beach-JFK Airport (A),18.14570777250859,0.0551094513665119
387,N141,Ozone Park-Lefferts Blvd (A),18.15618085269312,0.0550776624287518
388,R326,"Bronx Park East (2,5)",18.3770810880806,0.0544156057867427
389,R726,Morris Park (5),18.385820243013,0.0543897409407133
390,N557,Kings Hwy (F),18.486578278863583,0.0540932986578342
391,R293,Mosholu Pkwy (4),18.851332368187972,0.0530466483996389
392,R417,Parkchester (6),18.958647394956564,0.0527463789566561
393,N183,"Broad Channel (A,S)",19.140461422952168,0.0522453444513545
394,R328,"Pelham Pkwy (2,5)",19.363081994764777,0.0516446710430897
395,R727,Pelham Pkwy (5),19.38062270183091,0.0515979293021131
396,R294,Woodlawn (4),19.84899260869931,0.0503803905676162
397,R418,Castle Hill Av (6),19.949539690696565,0.0501264698586678
398,N191,Beach 67 St-Arverne By The Sea (A),20.13626079065321,0.0496616531935351
399,N184,"Beach 90 St (A,S)",20.13952124829208,0.0496536132945466
400,R329,"Allerton Av (2,5)",20.351944027337822,0.0491353552592689
401,R728,Gun Hill Rd (5),20.376461670291818,0.0490762339497816
402,R419,Zerega Av (6),20.9425179098862,0.0477497502593962
403,N192,Beach 60 St (A),21.13292134881458,0.0473195344597302
404,N185,"Beach 98 St (A,S)",21.13891711147209,0.0473061129255906
405,R330,"Burke Av (2,5)",21.342449327927696,0.0468549782939603
406,R729,Baychester Av (5),21.374024823640003,0.0467857602043198
407,R420,Westchester Sq-East Tremont Av (6),21.93640013895227,0.0455863311056361
408,N193,Beach 44 St (A),22.13023660233439,0.0451870451260568
409,N186,"Beach 105 St (A,S)",22.13849840026771,0.0451701819120626
410,R331,"Gun Hill Rd (2,5)",22.33396099292872,0.0447748610430821
411,R730,Eastchester-Dyre Av (5),22.372606860505773,0.0446975180959038
412,R421,Middletown Rd (6),22.93202354078553,0.0436071416995303
413,N194,Beach 36 St (A),23.12780640926008,0.0432379959562275
414,N187,"Rockaway Park-Beach 116 St (A,S)",23.13820077109256,0.043218572173915
415,R332,"219 St (2,5)",23.327647311218755,0.042867589116845
416,R422,Buhre Av (6),23.928382476781284,0.0417913747814062
417,N195,Beach 25 St (A),24.12569939100534,0.0414495755664113
418,R333,"225 St (2,5)",24.32228611228506,0.0411145562297659
419,R423,Pelham Bay Park (6),24.926120071592702,0.0401185582484479
420,N196,Far Rockaway-Mott Av (A),25.124181949133494,0.0398022909571584
421,R334,"233 St (2,5)",25.318044479305943,0.0394975212567212
422,R335,"Nereid Av (2,5)",26.31537370881985,0.0380006003739494
423,R336,Wakefield-241 St (2),27.31379387607638,0.0366115379114682
